,League,Team,Country,Rating,Age,Years,AAV
Michelle Hayes,United Arab Emirates,Deira,United Arab Emirates,63.33971815554996,5,2,5.666666666666664
Oscar Moreta,Saudi Arabia,Dammam,Germany,63.337510979783275,5,2,5.911111111111111
Enrique Spink,Morocco,Casablanca,Vietnam,63.33308876804722,5,2,9.0
Norman Porraz,Malaysia,Klang,China,63.330543960472774,6,1,4.666666666666667
David Cordial,Argentina,Buenos Aires,Austria,63.32206052251003,7,3,8.299999999999997
Raymond Parker,France,Nantes,Peru,63.308411902363495,8,2,34.5
Joseph Carlson,United States,San Jose,United States,63.28688770927966,4,3,4.799999999999999
Amber Garcia,China,Qingdao,China,63.280878575859674,8,3,5.699999999999996
Michael Yates,South Korea,Changwon,Japan,63.25655168167419,6,1,4.333333333333334
James Jones,Mexico,Juarez,Mexico,63.2549866193568,8,2,12.0
William Mccrimmon,Japan,Yokohama,Japan,63.24948266073413,8,2,17.15
Donnie Farina,United States,Austin,Austria,63.2441305842698,8,2,21.46666666666667
Brian Austin,Kuwait,Mubarak Al-Kabeer,Kuwait,63.22282121063196,3,1,0.6666666666666665
Michael Hiller,Japan,Nagoya,Japan,63.16646367563703,8,2,30.333333333333336
Ralph Coomer,Italy,Bologna,Italy,63.163783638366404,7,2,16.716666666666665
Gordon Welsh,China,Shenzhen,Italy,63.141286796886554,8,2,27.0
Bernard Collier,Norway,Stavanger,Norway,63.13768321803231,4,3,6.600000000000001
Eric Whitehurst,Brazil,Belo Horizonte,Germany,63.13412583960818,6,1,4.200000000000003
Pamela Mcdonald,Slovakia,Bratislava,India,63.12276457382172,5,2,4.833333333333336
Jose Poole,Belgium,Mechelen,United States,63.11345848328557,5,2,3.0
Rachel Gamble,Israel,Petah Tikva,Philippines,63.11219072903234,4,3,8.0
John Calhoun,Mexico,Mexicali,Mexico,63.110955937033914,6,1,9.5
Mitchell Carr,Japan,Nagoya,Japan,63.10919616558953,8,2,20.222222222222225
Irene Shellenberger,Spain,Hospitalet,France,63.105931616196266,6,1,4.5
Barbara Morin,Germany,Bremen,Germany,63.07680091496871,4,3,5.699999999999996
Anthony Wilson,Switzerland,Neuchatel,United Kingdom,63.066029961301545,5,2,3.8024691358024696
Maria Hotchkiss,Canada,Ottawa,France,63.06008957653215,7,3,6.870370370370372
Ann Randall,Austria,Salzburg,Poland,63.05678271791974,6,1,3.4481481481481486
John Starnes,France,Montpellier,Brazil,63.04906562135327,8,2,29.399999999999995
Debra Stanford,Russia,Volgograd,Russia,63.04600677547513,7,3,7.333333333333333
Kevin Olson,Austria,Vienna,Sweden,63.022615162078786,9,1,103.5
Marsha Lauer,Czech Republic,Prague,Poland,63.00542091932198,8,2,37.800000000000004
Joshua Snoke,Argentina,Lanus,Argentina,63.00534720881615,6,1,4.333333333333333
Luis Wood,South Africa,Johannesburg,Germany,62.98488915909296,4,3,8.74074074074074
Stephanie Cervantes,France,Toulon,France,62.97699300356721,4,3,6.333333333333334
Catherine Martin,Indonesia,Makassar,Poland,62.96268890479403,4,3,7.466666666666665
Joy Strack,United Kingdom,Hull,United Kingdom,62.96141019303628,7,3,5.6
Charles Clemans,Sweden,Umea,Sweden,62.9597076150792,5,1,4.333333333333333
Alice Berrios,South Africa,Durban,South Africa,62.9589365779818,4,3,6.0
Ernesto Phillips,Argentina,Tucuman,Italy,62.95745421447457,5,2,3.9111111111111105
Tressie Acosta,United States,Nashville,United States,62.9535147243603,7,3,4.725925925925926
Jeanne Holtzclaw,Spain,Palma,Saudi Arabia,62.95185564825962,7,3,7.466666666666668
Leann Dunnagan,Mexico,Leon,France,62.94393814318693,6,1,4.9
Helen Key,India,Vadodara,India,62.94111896415333,4,3,5.5
Alphonso Ray,Saudi Arabia,Khamis Mushait,United States,62.920837310874006,5,2,2.0
Patricia Morris,Japan,Kawasaki,Japan,62.899410224909985,4,3,6.0
William Furlong,Italy,Palermo,Italy,62.89642076343461,8,2,29.7
Richard Davis,Belgium,Sint-Niklaas,Belgium,62.88975339004723,3,1,1.0
Karyn Zamora,Italy,Trieste,Italy,62.88392142599132,5,2,3.099999999999998
Tom Rocha,India,Visakhapatnam,Russia,62.85337713165169,6,3,6.233333333333333
Marie Kamai,Belgium,La Louviere,Kenya,62.85152618355623,5,2,3.0
Willa Riles,Thailand,Pattaya,South Korea,62.85040134818446,3,1,1.1999999999999997
Melanie Piller,China,Dalian,China,62.83957778310691,6,1,6.133333333333333
Anthony Smith,Saudi Arabia,Taif,France,62.82457209075828,6,1,4.199999999999999
Harold Bradford,South Africa,Pretoria,Denmark,62.824179527413115,6,1,6.3
David Patterson,Spain,Murcia,United States,62.78838086569457,4,3,7.233333333333331
Eugene Killion,United Arab Emirates,Ajman,United Arab Emirates,62.78312479085597,6,1,7.333333333333333
Roger Wrobel,Colombia,Santa Marta,Japan,62.782341580500855,3,1,1.05
Carole Hunt,Russia,Krasnoyarsk,Italy,62.778005385374804,6,1,4.8
Constance Kisler,Mexico,Zapopan,Austria,62.776447016947216,4,3,7.700000000000001
Kathleen Sandberg,South Korea,Daejeon,United States,62.764862173401404,7,3,7.460905349794238
Shirly Carrol,Thailand,Udon Thani,Thailand,62.739057823376065,5,2,3.625925925925926
Erna Mallia,Romania,Craiova,Australia,62.73669598098198,5,2,3.3333333333333335
Vivian Bennett,Egypt,Alexandria,United Kingdom,62.73411262086616,4,3,8.4
Rose Baldwin,Australia,Brisbane,Mexico,62.72350409240319,8,2,36.05
Mark Falconio,Netherlands,Utrecht,Mexico,62.718227449729056,7,3,7.777777777777779
Jeanetta Atwood,Sweden,Jonkoping,United Kingdom,62.687892603631596,5,2,4.200000000000001
Ginger Curry,Brazil,Belo Horizonte,Indonesia,62.67656556815707,4,3,7.0
Debra Bussard,Netherlands,The Hague,Slovakia,62.671660823373166,7,3,6.299999999999999
Jean Calo,Saudi Arabia,Khobar,Russia,62.658018571973535,6,1,7.555555555555556
David Tipton,Australia,Gold Coast,Australia,62.6328329157114,7,3,6.533333333333331
Edwin Engle,Canada,Ottawa,United Kingdom,62.61999312044158,5,2,12.366666666666667
Elizabeth Pichette,China,Jinan,Italy,62.60558228716088,8,2,25.666666666666668
Frankie Marshall,Portugal,Lisbon,Argentina,62.60512750833978,4,3,7.6
Gloria Wilkerson,United States,Austin,United States,62.58662556683102,4,3,4.6
Graciela Juarez,Japan,Sakai,Japan,62.58078008959168,6,1,3.3000000000000007
Rebecca Vidrio,Germany,Duisburg,Germany,62.5714377447751,4,3,4.9
Michael Carter,South Korea,Daegu,South Korea,62.57069876221632,10,2,27.06666666666667
Jacqueline Manos,United Arab Emirates,Al Ain,France,62.568654607406,4,3,7.466666666666665
Jean Gary,Greece,Athens,Poland,62.555912778595584,4,2,8.666666666666668
Kevin Kartchner,Morocco,Sale,United Arab Emirates,62.552164539326974,3,1,1.3999999999999995
Marjorie Abell,France,Strasbourg,France,62.54794127927695,8,2,17.283333333333335
Thomas Hart,France,Saint-Etienne,Peru,62.54291446298223,4,3,6.166666666666666
Joshua Huntington,Bangladesh,Gazipur,Bangladesh,62.53718201257763,5,2,2.6666666666666665
Jose Todd,Japan,Kobe,Japan,62.52584663661159,9,1,28.46666666666667
Barbara Pittman,China,Chengdu,China,62.49907350898525,7,3,5.6
Ileana Swanagan,Canada,Hamilton,Canada,62.49613725257091,4,3,6.0
Beth Freeman,Hong Kong,Sha Tin,Hong Kong,62.490789808202216,5,2,3.6
Helen Doucette,Iraq,Baghdad,Argentina,62.48466055935032,4,3,8.166666666666668
Fred Stewart,India,Mumbai,India,62.4762455057788,8,2,29.051851851851858
Jay Cardero,Canada,Gatineau,Denmark,62.46406872803604,5,2,3.0
Rebecca Khensovan,Russia,Izhevsk,Russia,62.453439792442005,5,2,4.666666666666667
Consuelo Cota,Bangladesh,Dhaka,South Korea,62.441662960881985,8,2,35.1
David Jacobs,Malaysia,Subang Jaya,China,62.40461811305857,5,2,3.1999999999999997
Violet Mcalvain,Brazil,Natal,Sweden,62.40182498179918,5,2,3.0
James Lilly,Russia,Novosibirsk,Germany,62.39573874679087,6,1,7.777777777777779
Thomas Hanson,Kuwait,Al Farwaniyah,Germany,62.389264792399594,6,1,2.8888888888888893
Adelaide Borek,India,Thane,India,62.38685221049486,4,3,5.0
Libby Mason,Italy,Padua,Italy,62.34828109132531,8,2,12.8
Selma Whitcomb,South Africa,Durban,China,62.3410182830484,5,2,4.666666666666666
Milton Pryor,New Zealand,Christchurch,Czech Republic,62.32115498723399,4,3,8.066666666666666
Pamela Soto,Sweden,Uppsala,Sweden,62.31925129999188,7,2,4.08888888888889
Paula Walker,Mexico,Tijuana,India,62.31764050914053,6,1,5.866666666666667
Irma Spence,Russia,Voronezh,Germany,62.30838495795555,6,1,6.9
Roslyn Veneziano,Brazil,Recife,Brazil,62.28607013309345,4,3,6.533333333333331
Vito Matteson,Indonesia,Banjarmasin,Indonesia,62.28013728352983,6,1,3.75
Michael Leggett,France,Marseille,France,62.276542571367735,9,1,37.400000000000006
Guadalupe Perry,France,Bordeaux,Nigeria,62.271048762114965,8,2,24.88888888888889
Katherine Davidson,Brazil,Campo Grande,Brazil,62.26240397923057,5,1,3.1111111111111107
Sara Holland,Romania,Bucharest,Romania,62.25961672258613,8,2,21.666666666666668
Thomas Federick,South Korea,Suwon,New Zealand,62.258200515300665,4,3,7.0
Charlene Wilgus,Italy,Milan,Egypt,62.24521808794869,8,1,20.0
Maryann Radosevich,Brazil,Campinas,Canada,62.2424147531161,6,1,5.0
David Darroch,Japan,Kitakyushu,Japan,62.23260225006622,6,1,3.700000000000003
Alice Hill,United States,Houston,Netherlands,62.222511089893004,8,2,18.0
Amanda Alessandroni,Austria,Klagenfurt,Germany,62.21254223919332,5,2,2.840740740740741
Glenn Loreto,Spain,Vigo,China,62.20512660301202,6,1,4.666666666666668
Lloyd Kelly,Austria,Linz,Italy,62.2044229994618,6,1,5.0
Carolyn Sirwet,Germany,Hamburg,Germany,62.15346323813386,8,2,24.26666666666665
Vincent Koval,China,Guangzhou,Netherlands,62.15242193617884,8,2,29.7
Jannette Halyk,South Korea,Ulsan,South Korea,62.15031968087416,7,3,6.533333333333333
Karl Wright,France,Lyon,France,62.139929956192915,8,2,16.177777777777777
Karen Riley,Finland,Espoo,China,62.133993382569535,7,3,7.933333333333334
Melina Jackson,Indonesia,Depok,Indonesia,62.12972458150131,6,1,5.333333333333336
Dennis Bueno,Morocco,Rabat,United Kingdom,62.12508567150697,6,1,5.0
Kaye Mireles,Israel,Ashdod,Brazil,62.12402851157837,4,3,7.333333333333333
Frederick Harden,Sweden,Orebro,Norway,62.12183236532983,6,1,5.0
Nancy Giardina,Turkey,Ankara,Canada,62.104881198951276,8,2,22.8
Maria Riddick,United Kingdom,Sheffield,United Kingdom,62.09197442303112,8,2,15.9
Michael Jones,United Arab Emirates,Dubai,France,62.08441298750123,8,1,27.799999999999997
Jackie Schamber,Italy,Modena,Italy,62.08343607774686,7,3,4.5168724279835395
Edward Obermeyer,Israel,Netanya,India,62.08237197635322,5,2,4.199999999999999
Scott Wellman,Poland,Katowice,China,62.07716243565943,6,1,6.0
Leroy Newberg,Canada,Quebec City,Italy,62.073339801506194,5,2,3.1111111111111107
Daniel Mathewson,Poland,Katowice,Germany,62.06976105840566,6,1,4.0
Norman Richardson,Saudi Arabia,Taif,United Kingdom,62.028951177058374,5,2,3.466666666666667
Tom Slama,United Arab Emirates,Ajman,Japan,62.023424074982806,7,3,7.333333333333333
Michael Eland,Saudi Arabia,Medina,Ecuador,62.01668872840762,5,2,4.333333333333334
Debra Welch,Spain,Cordoba,Spain,62.00584676556024,7,3,6.6000000000000005
Gertrude Irby,South Africa,Ekurhuleni,Belgium,61.98669827155205,5,2,4.800000000000001
Pat Scott,Spain,Alicante,Spain,61.98661258456981,7,3,6.133333333333333
Bridget Rodriguez,Japan,Shizuoka,Japan,61.985531945626725,4,3,5.6
James Rolfes,China,Jinan,China,61.983278251815335,4,3,5.5
Crystal Flores,France,Villeurbanne,France,61.98176891005196,4,3,4.7666666666666675
Edward Aragon,Ukraine,Kyiv,Spain,61.968544750334345,4,3,7.666666666666667
Michael Magee,Israel,Jerusalem,India,61.9489142951199,4,3,7.25
Theresa Hatchett,Argentina,Resistencia,Argentina,61.915395249015035,5,2,2.5666666666666673
Shayne Hopkins,Germany,Dortmund,Germany,61.91425936229276,4,3,5.8000000000000025
Justin Love,Sweden,Lund,Kuwait,61.91350990875533,5,2,3.9000000000000004
Buford Barr,Indonesia,Depok,Singapore,61.89429002016425,7,3,6.755555555555555
Eileen Morales,Germany,Hanover,Germany,61.89178652702745,7,3,5.299999999999999
Nancy Hagans,Spain,Valencia,Thailand,61.884638359489436,8,2,12.599999999999998
Robert Jeffries,Switzerland,Lausanne,Switzerland,61.827306351457715,5,2,4.133333333333333
Michael Simone,Israel,Rishon LeZion,Germany,61.82321372885973,6,1,8.0
Elizabeth Shook,Russia,Rostov-on-Don,Russia,61.802429812272514,6,1,4.166666666666666
Alton Kouba,Mexico,Monterrey,Italy,61.794737274278,6,1,3.1111111111111107
Kenneth Rivera,Japan,Kobe,Japan,61.78758264426489,8,2,14.233333333333334
Phyllis Davis,Brazil,Curitiba,Brazil,61.76919347686633,6,1,3.666666666666667
Thomas Armijo,Turkey,Konya,Turkey,61.75914320152659,5,2,3.9000000000000004
Robert Prieto,Philippines,Davao,United Kingdom,61.74191653714514,6,1,2.533333333333333
Maria Radosevich,Argentina,La Plata,Argentina,61.725535096078204,7,3,6.533333333333334
Eric Dengler,United States,Fort Worth,United States,61.70923759036536,7,3,4.4
Frances Bonifant,China,Changsha,China,61.68881018647536,4,3,4.899999999999999
Kimberly Esquivez,South Korea,Busan,South Korea,61.68183324292948,8,2,24.299999999999997
Kenneth Rodriguez,Belgium,Ghent,United Kingdom,61.6779997052348,5,2,4.0
Scott Noonkester,Netherlands,Arnhem,Japan,61.65749579924547,6,1,2.166666666666667
Derrick Walters,Argentina,Almirante Brown,France,61.65534406778097,6,1,5.0
Eula Alvarado,Australia,Canberra,Australia,61.633640257474276,5,2,2.533333333333333
Victor King,Nigeria,Lagos,South Korea,61.62472050592862,8,2,29.400000000000006
Andrew Winslow,Brazil,Maceio,India,61.620437813653524,6,1,3.966666666666667
Brian Spates,United States,San Francisco,United States,61.61523793316594,4,3,4.1
Kevin Gongora,Poland,Lodz,Poland,61.59312468814921,6,1,4.503703703703705
Hilary Robinson,United Kingdom,Manchester,United Kingdom,61.58199778354233,7,3,5.0
Amy Forde,Slovakia,Kosice,Belgium,61.568706556498604,6,1,6.222222222222222
Elaine Hubbard,New Zealand,Wellington,Japan,61.54675958750684,4,3,6.666666666666667
Modesto Thornton,Israel,Nazareth,Japan,61.525416326703855,5,2,2.6666666666666665
Maria Stromberg,Canada,Calgary,Belgium,61.5158326223416,9,1,27.983333333333334
Catherine Forgey,Peru,Lima,Italy,61.504241020657815,8,2,15.599999999999998
Julia Baisch,Argentina,Santa Fe,Argentina,61.492851230180655,6,1,2.5
Terry Wilson,Austria,Salzburg,Austria,61.48488184877586,4,2,6.333333333333332
Ernest James,Brazil,Salvador,Italy,61.47093347775676,6,1,5.333333333333334
Donald Tovar,Norway,Drammen,Norway,61.470891086611324,3,3,5.333333333333333
Raymond Henderson,Belgium,Leuven,Italy,61.4503629152159,5,2,3.5999999999999996
Donald Wilks,Iraq,Baghdad,China,61.43908850818909,6,1,7.0
Staci Hess,Vietnam,Ho Chi Minh City,Germany,61.42757586526447,6,1,5.583333333333334
Anna Smith,Nigeria,Ibadan,Nigeria,61.412699719255805,8,1,14.38888888888889
Rebecca Read,India,Hyderabad,Morocco,61.40591633369689,8,2,21.599999999999998
Odette Parrish,Angola,Benguela,Angola,61.3961606813841,3,1,1.3333333333333333
Tina Dickey,United Arab Emirates,Abu Dhabi,United Arab Emirates,61.3889395304763,8,1,8.266666666666666
Sun Stafford,Russia,Yekaterinburg,Russia,61.36460341787943,6,1,7.466666666666668
Jonathan Alvarez,France,Dijon,France,61.36010750995084,7,2,4.8691358024691365
Carolin Foster,Norway,Alesund,Mexico,61.31877381539988,5,2,3.5555555555555554
Gary Deaton,Netherlands,Groningen,Mexico,61.31694708587794,5,2,3.5999999999999996
Lonnie Ollig,Hungary,Sopron,Indonesia,61.3098379083011,3,1,0.6666666666666666
Aurelio Young,Nigeria,Abuja,Indonesia,61.303794181109104,6,1,5.444444444444445
Glenn Murray,Russia,Saratov,Russia,61.30035523956205,6,1,4.5
Marcus Lloyd,United Arab Emirates,Abu Dhabi,Finland,61.28834292268437,8,2,24.8
Michael Bridges,Mexico,Tijuana,Belgium,61.28807893848028,9,1,17.6
Adalberto Delgado,Canada,Halifax,United Kingdom,61.287805758014755,7,3,5.962962962962963
Jessie Myers,Belgium,Ghent,Belgium,61.276570299296885,7,3,7.1111111111111125
Richard Chavis,South Korea,Yongin,South Korea,61.275391394947285,7,3,6.066666666666666
Margaret Selvester,Israel,Bnei Brak,Australia,61.26475541422765,6,1,2.7
Paul Brown,Brazil,Teresina,Brazil,61.242554259770316,5,2,3.0
Anthony Howard,Netherlands,Almere,Saudi Arabia,61.23118237381585,7,2,6.422222222222222
John Swigert,Australia,Sunshine Coast,Australia,61.22685009748762,4,3,5.6000000000000005
Martin Cardenas,Spain,La Coruna,Spain,61.222754597612486,5,2,2.833333333333334
Herman Cann,Peru,Arequipa,Peru,61.20724993227263,5,2,3.3
Paul Wilson,Sweden,Gothenburg,United States,61.195638113446215,6,1,5.799999999999997
Marie Wender,Israel,Rishon LeZion,Egypt,61.192369756553624,7,3,7.111111111111112
Chad Taylor,Czech Republic,Ostrava,Denmark,61.19130346093416,6,1,5.4
Sarah Johnson,Belgium,Hasselt,Italy,61.19016065194988,5,2,3.0
James Escalante,Switzerland,Winterthur,France,61.175752306033836,6,1,8.333333333333334
Thomas Williams,Qatar,Doha,China,61.1735407384967,4,3,7.866666666666667
Louis Stanley,United States,Phoenix,United States,61.16707984918258,8,2,11.400000000000002
Brett Vega,Iraq,Baghdad,Germany,61.14914447328173,6,1,3.5
Violet Wicks,Israel,Bat Yam,China,61.145124819109185,5,2,3.9000000000000004
Jonathan Zito,Canada,Winnipeg,Canada,61.143630560929346,7,2,6.5
Edward Lee,Brazil,Brasilia,India,61.13394195126323,8,1,20.400000000000002
William Garcia,Kazakhstan,Astana,Mexico,61.12016152344252,6,1,4.666666666666666
Erica Havens,Israel,Tel Aviv,Portugal,61.111351155113596,6,1,5.0166666666666675
William Bonifacio,Japan,Sakai,Australia,61.10927548060331,4,3,5.5
Greg Jackson,Denmark,Aalborg,Australia,61.08736439420885,4,3,6.399999999999999
Michael Anderson,South Korea,Namyangju,United States,61.08658909663888,6,1,3.966666666666667
Vito Segal,Greece,Larissa,Greece,61.06544199152574,3,1,1.0
Wonda Starkey,United Kingdom,London,Germany,61.06058044816876,9,1,107.21790123456788
James Johnson,Sweden,Norrkoping,South Africa,61.05830581346379,5,2,4.666666666666667
Brian Murphy,South Africa,Durban,Italy,61.04502330079747,6,1,7.0
Stephanie Doucet,India,Surat,Peru,61.022920986965,8,2,12.0
Gerard Lyndon,Japan,Sapporo,Japan,61.01752201205236,8,2,12.833333333333329
Emma Williams,United Arab Emirates,Dubai,Chile,61.0150795180006,9,1,64.86666666666667
Johnny Ladner,Turkey,Izmir,Norway,61.00942619202237,7,3,7.0
Mae Blackmon,Italy,Milan,France,61.00856170379717,9,1,40.0
Travis Barboza,Norway,Oslo,Indonesia,60.99923932338788,8,2,28.9
Lorna Rodgers,Switzerland,La Chaux-de-Fonds,Switzerland,60.98679516010182,5,2,2.6999999999999997
Esperanza Rogers,Switzerland,Biel,Switzerland,60.96953545093918,6,1,4.0
Edwin Bramlett,Brazil,Manaus,Nigeria,60.96789435479923,6,1,4.316666666666666
Lisa Witmer,Switzerland,Lausanne,Switzerland,60.95912818882931,8,2,12.4
Dale Gaughan,United Arab Emirates,Bur Dubai,China,60.953285180533285,4,3,6.8
Sandra Wallick,Poland,Gliwice,Poland,60.947071767725184,5,2,3.0
Tyree Pfeffer,Singapore,Kallang,Mexico,60.94097194783962,3,1,0.9333333333333333
Marla Schuckert,India,Indore,India,60.933324119359504,4,3,5.133333333333333
Bill Koontz,United Kingdom,Sheffield,United Kingdom,60.931979381268974,6,3,5.299999999999997
Bettie Rorick,Japan,Niigata,Japan,60.915012260375036,4,3,5.166666666666666
Doris Allee,Japan,Hamamatsu,Kazakhstan,60.901626200607915,4,3,5.333333333333334
Tanya Tiry,Canada,Vancouver,Canada,60.86358399457199,7,2,5.25
Joe Boeke,Saudi Arabia,Khobar,China,60.85519857815202,5,2,3.4000000000000004
Toni Romero,United States,Chicago,France,60.8199480115584,8,2,19.049999999999997
Eric Hoyer,Canada,Laval,Ukraine,60.792852247470734,6,1,4.6000000000000005
Thad Puente,Argentina,Cordoba,Argentina,60.77385866097272,7,2,9.333333333333334
Francis Mariscal,India,Indore,India,60.76641747969935,8,2,4.399999999999999
Caroline Phillips,Mexico,Chihuahua,Italy,60.73262803759449,6,1,4.166666666666666
Randall Maloney,Philippines,Zamboanga,India,60.71565177231758,5,2,3.3333333333333335
Albert Johnson,Turkey,Kayseri,United States,60.67316095813081,5,2,4.0
Dorothy Vos,Canada,Vaughan,India,60.67089053433953,6,1,3.966666666666666
Carmine Yoder,Germany,Bremen,Germany,60.65861998796743,8,2,17.1
Alisha Chavarria,United Kingdom,Brighton,United Kingdom,60.65522695128873,4,3,5.2
Virginia Sickles,United Kingdom,Leicester,United Arab Emirates,60.61144375527074,4,3,5.333333333333334
Guy Brantley,United States,Denver,United States,60.5934018005943,8,2,12.844444444444445
Agnes Ramos,Colombia,Cali,Spain,60.582822276048404,5,2,3.1999999999999997
Charles Pence,Saudi Arabia,Medina,Australia,60.55884670979826,6,1,4.333333333333334
Benjamin Bradley,United States,San Antonio,United States,60.53783951599237,8,2,10.2
Sara Adams,Germany,Wuppertal,China,60.528326540832566,4,3,5.25
Charles Dishong,United Arab Emirates,Al Ain,Germany,60.527595449600916,8,2,12.088888888888889
Lorenzo Harrison,Italy,Trieste,Australia,60.513862295641715,7,3,4.65
Sandy Hupp,United States,Los Angeles,South Korea,60.50899872834814,9,1,55.06111111111111
Denae Valdez,Indonesia,Bekasi,Indonesia,60.506573296860246,8,2,12.711111111111109
Dana Hudspeth,Italy,Turin,Italy,60.50317329156226,9,1,22.93333333333333
Molly Verkamp,Australia,Gold Coast,Egypt,60.49912596147189,9,1,11.200000000000001
Donna Gardner,Mexico,Mexicali,Germany,60.495524072831344,6,1,4.75
John Haggard,Spain,Vigo,Canada,60.4923945464745,4,3,6.0
Rita Fisher,Angola,Soyo,Belgium,60.47463403471891,3,1,0.26666666666666666
James King,Switzerland,Winterthur,Switzerland,60.46701661914833,6,2,5.555555555555553
David Williams,Denmark,Odense,South Korea,60.449895543307456,5,2,3.8999999999999986
Timothy Diller,Ecuador,Ambato,Ecuador,60.43741235666704,3,1,0.6
Jesus Stuer,Mexico,Monterrey,Italy,60.42700026448408,6,1,6.222222222222221
Shawn Dietz,Switzerland,Koniz,Switzerland,60.41478288449739,5,2,4.2
Clarence Gray,Poland,Krakow,China,60.39626638000083,4,3,6.333333333333334
Christopher Alleman,France,Lille,France,60.3867733211356,8,2,17.0
Stanley Beaudry,Netherlands,Utrecht,Netherlands,60.37768767789699,6,1,4.666666666666664
Lucille Chapman,United Arab Emirates,Al Quoz,China,60.375757775966406,5,2,3.6
Leon Clarke,Saudi Arabia,Tabuk,Saudi Arabia,60.375595579565605,5,2,2.166666666666667
Aaron Anderson,France,Nimes,Philippines,60.37505181795983,10,2,3.2
Dan Fernandez,Austria,Linz,France,60.37188666540198,5,2,4.166666666666666
Elwood Pittman,Brazil,Goiania,Brazil,60.34714366220636,6,1,4.333333333333334
Chad Mcclain,Hong Kong,Kwai Chung,Brazil,60.30840417556935,3,1,1.3999999999999995
Donald Vasallo,New Zealand,Nelson,Spain,60.30631823844838,3,1,1.3333333333333333
Martin Oliveros,Turkey,Gaziantep,Turkey,60.29385568014646,4,3,5.833333333333333
Betty Kimbrough,South Korea,Ulsan,South Korea,60.24539233585451,5,2,2.8000000000000007
Garry Yanez,Turkey,Antalya,Turkey,60.24066821139115,4,3,4.622222222222222
Erlinda Woodfin,Australia,Geelong,Australia,60.23169926308306,7,3,4.8
Christine Zemel,Germany,Essen,Germany,60.22655972844582,8,2,27.066666666666663
Henry Taylor,Indonesia,Bogor,Indonesia,60.21381724187141,7,2,3.833333333333333
Kristeen Corbitt,Netherlands,Zaanstad,United Kingdom,60.18542990298764,5,2,2.8
Dong Smith,Turkey,Adana,Turkey,60.177421798940436,6,1,8.4
Margaret Zurasky,Norway,Kristiansand,Ireland,60.17255958628217,5,2,3.4000000000000004
Stevie Derosier,Japan,Okayama,Japan,60.13643336679072,4,2,5.638888888888889
Rose Roper,Philippines,Manila,Saudi Arabia,60.13587456825371,6,1,8.444444444444446
Carla Valenziano,Russia,Moscow,Germany,60.12869584713151,9,1,77.42222222222222
John Miller,Poland,Katowice,Italy,60.081988221360746,5,2,3.0
Melinda Bradley,United States,Jacksonville,United States,60.08120558281184,7,3,4.299999999999999
Derrick Harris,Canada,Mississauga,Canada,60.06536657030819,7,3,5.066666666666666
Keith Brewer,South Korea,Hwaseong,Egypt,60.047197311435205,6,1,3.7777777777777777
Rosario Yost,Japan,Kitakyushu,Brazil,59.98738894346057,10,2,14.799999999999997
Mary Cornejo,Mexico,Nezahualcoyotl,India,59.98210036473916,6,1,5.799999999999999
Cassandra Lenis,United Kingdom,Nottingham,United Kingdom,59.96815129706418,4,3,5.0
Branden Walker,Finland,Lahti,South Korea,59.936056863132286,5,2,3.0
Joshua Johnson,Finland,Espoo,United States,59.88437979685202,6,1,4.899999999999999
Margaret Michelotti,United Kingdom,Bradford,United Kingdom,59.87878359252481,7,3,4.9
Leonard Shockley,Philippines,Pasig,France,59.85440835691736,5,2,3.0
Rosa Weitz,United Kingdom,Stoke,United Kingdom,59.84477430022602,4,3,4.599999999999998
Diane Waters,Italy,Bari,United States,59.838310011123475,7,3,4.799999999999999
Babette Mcclung,Mexico,Zapopan,Mexico,59.82397533940176,6,1,6.599999999999998
Rudy Miller,United Kingdom,Edinburgh,France,59.82287199791158,7,3,4.6999999999999975
Dorothy King,New Zealand,Taupo,United Kingdom,59.817560474838785,3,1,0.40000000000000013
Fred Sowell,Finland,Tampere,China,59.81022788214336,6,1,4.533333333333333
Rosa Russell,Spain,Gijon,Spain,59.78818220287722,4,3,5.7
Amy Griffith,United Kingdom,Plymouth,Russia,59.77417548617787,4,3,4.800000000000001
Ellen Fuller,Russia,Tolyatti,China,59.767929069512185,7,3,5.666666666666667
Latisha Tallarico,Saudi Arabia,Jeddah,Spain,59.72018176962113,8,2,19.133333333333333
Kimberly Watkins,Malaysia,Kuching,Italy,59.70853457210879,5,2,4.4
Rena Hoggins,Belgium,Antwerp,Nigeria,59.70695341336739,8,2,22.944444444444446
William Senn,Netherlands,Eindhoven,France,59.70293963313362,6,1,2.7
Rosie Whitney,Hong Kong,Yuen Long,Hong Kong,59.68703195612973,4,2,2.6666666666666665
Regina Harmon,Nigeria,Port Harcourt,Nigeria,59.68305524368069,5,2,3.3777777777777773
Bobby Bilbao,Belgium,Genk,Germany,59.67941240877659,5,2,2.6666666666666665
Maria Gould,United Kingdom,Bristol,United Kingdom,59.66520331831209,4,2,4.303703703703704
Terri Baxter,Canada,Montreal,Sweden,59.653972809704264,9,1,33.0
Violet Ellison,Oman,Bidbid,Oman,59.64789571876296,3,1,0.6666666666666666
Kathryn Winnen,Ethiopia,Addis Ababa,Brazil,59.63023606804724,7,3,7.155555555555553
Alton Howard,United States,Indianapolis,United States,59.62018692111514,7,2,4.200000000000001
